"STN
Code",Name of Monitoring Location,Type Water Body,State Name,TemperatureC_mean,Dissolved Oxygen_mg/L_mean,pH_mean,Conductivity_mhos/cm_mean,BOD_mg/L_mean,Nitrate_N_mg/L_mean,Fecal_Coliform_MPN/100ml_mean,Total_Coliform_MPN/100ml_mean
3621,HARALAKUNTE LAKE,LAKE,KARNATAKA,25,3.55,7.45,1047,17,3.05,13150,132000
1446,"HEBALLA VALLEY LAKE AT D/S ROAD BRIDGE NR. MANDYA,",LAKE,KARNATAKA,25.5,5.5,8,520.5,4.15,3.9,515,3000
3582,HEBBAL LAKE,LAKE,KARNATAKA,22,5.35,8.25,1267.5,5.45,5.2,1755,6400
3625,HEBBAL LAKE,LAKE,KARNATAKA,25,5.05,6.9,638.5,9.5,2.45,242000,1767500
4536,HOSAKEREHALLI LAKE,LAKE,KARNATAKA,25.05,3.15,6.75,1063,41.5,2.6,351650,1762000
3617,HULIMAVU LAKE,LAKE,KARNATAKA,25,5.15,7.4,841.5,6.5,3.1,10150,92000
3609,IBBALUR LAKE,LAKE,KARNATAKA,25,4.2,6.95,472,10,1.95,167300,1217500
4546,JAKKSANDRA LAKE,LAKE,KARNATAKA,25,3.65,6.95,769,19,2.6,32650,282000
3627,JAKKUR LAKE,LAKE,KARNATAKA,25,4.45,7.35,885,8,2.985,351150,8012000
4097,"KACHOHALLI LAKE, KACHOHALLI,
BENGALURU NORTH",LAKE,KARNATAKA,25,2.9,6.95,1283,65,9.8,241650,1762000
3611,KAIKONDANAHALLI LAKE,LAKE,KARNATAKA,25,3.75,7.15,1039,15,3.465,851100,8012000
3616,KALENA AGRAHARA LAKE,LAKE,KARNATAKA,25,5.65,7.45,864,7.5,3.15,13150,132000
4540,KAMMGONDANAHALLI LAKE,LAKE,KARNATAKA,25,4.55,7,1148,7.5,2.15,67450,812000
3601,KARIHOBANAHALLI LAKE,LAKE,KARNATAKA,25,3.2,6.95,1843.5,41.5,4.365,24002400,175017500
4529,KASAVANAHALLI LAKE,LAKE,KARNATAKA,25,5.85,6.85,531.5,5,3,25300,192500
3591,KEMPAMBUDHI LAKE,LAKE,KARNATAKA,25,5.55,7.5,543,8.5,1.59,71150,812000
3680,KILLA LAKE,LAKE,KARNATAKA,27,7.3,7.9,512,3.85,2.5,920,1600
4543,KODI SINGASANDRA LAKE,LAKE,KARNATAKA,25,4.8,7.25,870.5,11.5,3.55,24150,187000
4544,KOTHUNURU LAKE,LAKE,KARNATAKA,25,4.6,7.1,857,19,2.25,8350,92000
4517,KOWDHENAHALLI LAKE,LAKE,KARNATAKA,25.05,3.4,7.4,1841.5,29.5,4.195,166300,1212000
3583,KUKKARAHALLI LAKE,LAKE,KARNATAKA,23,5.9,8.05,632.5,3.55,2.05,1115,5450
4516,KUNDALAHALLI LAKE,LAKE,KARNATAKA,25,4.55,7.3,1012,10.5,7.905,47230,271750
3586,LIMBHABUDI LAKE,LAKE,KARNATAKA,23,5.3,8.05,707,4.35,2.3,1240,7100
4538,MACHOHALLI LAKE,LAKE,KARNATAKA,25,3.35,6.95,2292.5,74,5.8,601650,4612000
3644,MULBHAGAL LAKE,LAKE,KARNATAKA,25,3.3,7.5,1328,41,3.55,33150,282000
4523,NALLURAHALLI LAKE,LAKE,KARNATAKA,24.5,5.05,6.6,597,6.5,2.1,5450,39000
3646,NARASAPURA LAKE,LAKE,KARNATAKA,25,5.15,7.45,782,6.5,4.025,66650,472000
4509,NARASIPURA LAKE,LAKE,KARNATAKA,25,4.1,7.15,562.5,18.5,1.82,3501700,46012000
3685,NAVALOORU LAKE,LAKE,KARNATAKA,25,6.65,7.7,940,3.65,1.07,39,137
4505,NELAMANGALA LAKE,LAKE,KARNATAKA,25,3.55,7.05,1271,25,4.41,19300,137500
3620,PARAPPANA AGRAHARA LAKE,LAKE,KARNATAKA,25,4.15,7.25,752,21.5,4.1,551150,4612000
4524,PATTANDUR AGARAHARA,LAKE,KARNATAKA,25,3.55,7.35,543.5,18,1.65,31665,274600
3624,PUTTENAHALLI LAKE,LAKE,KARNATAKA,25,4.65,7.15,816,12.5,1.835,48650,282000
3614,PUTTENAHALLI LAKE (S),LAKE,KARNATAKA,25,5.35,7.35,761.5,7,2.05,6700,44500
4510,RACHENAHALLI LAKE,LAKE,KARNATAKA,25,4.9,7.55,824.5,13.5,2.535,76650,812000
4519,RAMPURA LAKE,LAKE,KARNATAKA,25,2.25,7,1251.5,51,3.45,851650,4617500
4514,SADRAMANGALA LAKE,LAKE,KARNATAKA,24.5,4.25,7.4,789.5,19.5,5.7,9150,92000
4504,SARAKKI LAKE,LAKE,KARNATAKA,25,6,7.55,599,6,2.65,61650,472000
4525,SEETHARAM PALYA LAKE,LAKE,KARNATAKA,25,3.1,7.9,2186,27,6.545,33150,282000
3587,SHETTYKERE LAKE,LAKE,KARNATAKA,27,5.45,7.9,805.5,4.5,2.7,1450,5850
4508,SINGAPURA LAKE,LAKE,KARNATAKA,25,2.75,6.85,1130,26,3.1,397400,2717500
3618,SINGASANDRA LAKE,LAKE,KARNATAKA,25,4.05,7.05,964.5,20,3.25,67150,817500
3622,SOMASUNDRA PALYA LAKE,LAKE,KARNATAKA,25,4.85,7.1,769.5,12.2,1.95,71150,472000
4534,SOMPURA LAKE,LAKE,KARNATAKA,25.05,5.7,7.35,385.5,4,1.35,56150,472000
4547,SWARANA KUNTE,LAKE,KARNATAKA,25,5.5,7.5,882,6,1.75,61150,812000
3610,TUBRAHALLI LAKE,LAKE,KARNATAKA,25,2.55,7.4,1351,44,1.7,11200,107000
4533,ULLALU LAKE,LAKE,KARNATAKA,25,4.15,7.1,965,9,12.79,316700,2712000
3593,ULSOOR LAKE TEMPLE,LAKE,KARNATAKA,25,4.4,7.7,402.5,22.5,1.155,352000,1762000
1388,"ULSOOR LAKE TRAINING CENTRE OF FISH BREEDING,",LAKE,KARNATAKA,25,4.4,7.65,411.5,20.5,1.335,246150,1212000
3608,VARTHUR LAKE,LAKE,KARNATAKA,25.5,2.55,7.1,1072.5,33,10,750005500,800080000
4527,WHITEFIELD KERE,LAKE,KARNATAKA,24.5,3.6,7.5,692.5,33,6.85,76650,812000
3592,YEDIYUR LAKE,LAKE,KARNATAKA,25,5.6,7.35,267.5,10.5,1.5,25300,472000
3585,YENNEHOLE LAKE,LAKE,KARNATAKA,27,2.45,7.75,997,7.7,5,3100,10950
3629,ALLASANDRA TANK,TANK,KARNATAKA,25,5.2,7.45,822,6.25,2.95,5503150,46027000
4541,ALUR KERE,TANK,KARNATAKA,25,5.55,6.9,383.5,9.5,1.15,26150,137500
3623,ANEKAL DODDAKERE TANK,TANK,KARNATAKA,25,3.8,7.3,1717,35.5,5.91,9150,92000
3681,ANGOL MI TANK,TANK,KARNATAKA,27,4.15,8.05,438.5,30.35,2.89,1660,3200
3638,ANNAYAPPA TANK,TANK,KARNATAKA,25,5.5,7.3,333,5.5,0.915,25050,282000
3673,AVALI KERE,TANK,KARNATAKA,24,3.65,7.6,1455,5.1,1,530,3000
3675,B KATIHALLI KERE,TANK,KARNATAKA,24,6.05,7.65,370,2.2,0.3,125,1060
3636,BANDEMATTA TANK,TANK,KARNATAKA,25,4.95,7.05,732,11.5,1.815,19650,147000
3664,BASAVANAHALLIKERE TANK,TANK,KARNATAKA,25,5.9,7.7,500,2,0.3,330,2200
3643,BEENNIGANAHALLI TANK,TANK,KARNATAKA,25,3.75,7.25,691.5,13.5,1.715,36650,812000
3619,BEGUR TANK,TANK,KARNATAKA,25,5.3,6.95,935,6.5,4.35,56350,472000
3651,BHEEMSANDRA TANK,TANK,KARNATAKA,25,3.6,7.05,1305,25,40,56650,477500
3637,BYRAMANGALA TANK,TANK,KARNATAKA,25,4.15,7.25,1117,15.5,3.455,61650,472000
3595,BYRASANDRA TANK,TANK,KARNATAKA,25.05,4.7,7.1,748.5,8.5,2.62,77400,817500
4532,CHANDAPURA LAKE,TANK,KARNATAKA,25,2.65,7.05,1704,24,14,231150,1762000
3606,DASARAHALLI TANK,TANK,KARNATAKA,25.5,4.85,6.75,657,8,1.505,21650,181500
3634,DEVARAKERE TANK,TANK,KARNATAKA,25,5.15,7.05,1405.5,10,3.45,49350,477500
3641,DHOREKERE TANK,TANK,KARNATAKA,25,3.3,6.95,691,21.4,2.95,61150,472000
3653,DODDAKERE TANK,TANK,KARNATAKA,25.5,6,6.9,280.5,4.5,0.65,8650,92000
3604,DODDANAKUNDI TANK,TANK,KARNATAKA,25,4.7,7.15,1652,7,2.8,26150,137500
4526,DYAVASANDRA TANK,TANK,KARNATAKA,25,5.4,7.1,505.5,5.5,1.8,8650,92000
3666,GANIGARAHOSAHALLIKERE TANK,TANK,KARNATAKA,23,5.3,7.95,820,2.6,0.35,230,1600
3676,GAVENAHALLIKERE,TANK,KARNATAKA,24,6.45,7.65,400,2.1,0.3,156,1160
3671,HANUMANTHAPURAKATTE TANK,TANK,KARNATAKA,24.5,4.95,7.65,445,2.4,0.3,275,1950
3683,HEREKERE TANK,TANK,KARNATAKA,25,5,7.65,814,16.5,1.445,119,420
3598,HEROHALLI TANK,TANK,KARNATAKA,25,3.3,6.8,943.5,17,3.3,24700,187000
3597,HESARAGHATTA TANK,TANK,KARNATAKA,25,5.7,6.75,412.5,4.5,1.35,3152300,27017500
3559,HULLIGE TANK,TANK,KARNATAKA,26.5,7.2,7.9,898.5,4.25,0.8,875,3500
3660,HUNASINA KERE TANK,TANK,KARNATAKA,24,6.2,7.55,485,2.3,0.3,435,2350
3561,HUNDIKERE (KOPPAL) TANK,TANK,KARNATAKA,26.5,7.3,7.95,892,4.5,0.3,825,3500
3670,INORKATTE KERE,TANK,KARNATAKA,23.5,5.3,7.55,380,2.1,0.31,265,1950
3642,JIGANI TNAK,TANK,KARNATAKA,24,5.85,6.9,968.5,11,2.5,36350,472000
3663,JOLADAKATTE TANK,TANK,KARNATAKA,24,5,7.9,520,2.55,0.3,340,2450
3682,KAKATI POND,TANK,KARNATAKA,26.5,6.5,9.35,2499.5,8.65,3.465,1380,2400
3607,KALKERE TANK,TANK,KARNATAKA,25,4.05,7.45,797,14.5,2.85,1401650,8012000
4530,KAMMASANDRA TANK,TANK,KARNATAKA,25,2.2,7,1686,55,8.9,6001050,46012000
3657,KANCHANAHALLI KOPPALU KERE,TANK,KARNATAKA,24,3.7,7.7,2645,5.1,1.2,405,2810
3588,KARANJIKERE TANK,TANK,KARNATAKA,22.5,6.7,8,630,4.25,2.35,900,5050
3684,KELEGERE TANK,TANK,KARNATAKA,24.5,7.05,7.85,519.5,3.65,0.75,55.5,251
3639,KENGERI TANK,TANK,KARNATAKA,25,4.45,7.1,839,21.5,3.445,471650,2712000
4511,KOGILU KERE,TANK,KARNATAKA,25,5.15,7.4,869.5,8,2.4,3151650,80017500
3661,KOKKANAGHATTADODDAKERE TANK,TANK,KARNATAKA,24.5,5.25,8.25,1700,4.9,0.8,270,1950
3662,KOUSHIKA KERE,TANK,KARNATAKA,24,6.5,7.55,495,2.05,0.3,156.5,1160
3590,LALBAGH TANK,TANK,KARNATAKA,25,4.75,7.35,453,15.5,1.805,26050,282000
3665,LINGAPPANAKATTE TANK,TANK,KARNATAKA,24,6,7.7,495,2.5,0.3,182,1310
3599,MADAVARA TANK,TANK,KARNATAKA,25,5,6.9,726.5,7.5,2.18,231150,1762000
4503,MADHURE TANK,TANK,KARNATAKA,25,4.85,6.65,231,10.5,1.2,5502450,46012000
3589,MADIWALA TANK,TANK,KARNATAKA,25,5.65,7.55,844,6.5,2.665,86150,812000
3659,MAKANA KERE,TANK,KARNATAKA,24,2.45,7.65,1070,4.8,0.95,1765,10000
3635,MALATHAHALLI TANK,TANK,KARNATAKA,25,3.05,6.95,1136.5,21,4.7,552450,4612000
4092,"MANCHALAPUR TANK, MANCHALAPUR, RAICHUR TQ & DIST",TANK,KARNATAKA,27.5,6.85,8.3,1653.5,12,1.285,30950,97500
4501,MANCHANABALE DAM,TANK,KARNATAKA,25,5.15,7.45,871.5,7,7.17,18150,187000
4512,MANCHANABALE DAM,TANK,KARNATAKA,25,3.4,6.95,958,91,22.9,33800,287500
3560,MAVENAKERE TANK,TANK,KARNATAKA,27.5,6.85,8.4,1559,18.5,0.33,34000,107000
3650,MELEKOTE TANK,TANK,KARNATAKA,25,3.75,7.3,1050.5,28,3.65,57300,477500
3648,MYDALA TANK,TANK,KARNATAKA,25,6.05,6.85,375,3.5,1.26,8815,82700
3626,NAGAVARA TANK,TANK,KARNATAKA,25,4.05,7.25,540.5,19,1.75,39502000,270012000
3596,NAYANDANAHALLI TANK,TANK,KARNATAKA,25.05,3.15,7.05,721,99.3,1.745,351650,1762000
3686,NIRASAGARAKERE TANK,TANK,KARNATAKA,24.5,7.45,7.85,382,1.75,0.62,8,21
3687,NUGGIKERE TANK,TANK,KARNATAKA,24,6.7,7.7,735,3.5,1.32,35.5,112
3669,PEREMINAHALLI KERE,TANK,KARNATAKA,24.5,5.8,7.6,450,2.15,0.3,247,2110
3565,PILIKULA TANK,TANK,KARNATAKA,29,6.4,6.85,176,2.5,4.55,811.5,811.5
4502,RAMAMMANA KERE,TANK,KARNATAKA,25,4.85,7.8,1130.5,12.5,3,47600,817500
4513,RAMAMMANA KERE,TANK,KARNATAKA,25,4.05,6.7,798,24.5,2.035,76650,812000
4531,RAYASANDRA LAKE,TANK,KARNATAKA,25,3.05,7.3,1299,12.5,12.575,50950,297000
4498,"SANAVALLI DAM, MUNGOD",TANK,KARNATAKA,25.5,7.25,7.05,207,2.45,0.545,5,25
3672,SANKALAPURAKERE TANK,TANK,KARNATAKA,24.5,5.25,7.65,575,2.3,0.3,315,2300
3594,SANKEY TANK,TANK,KARNATAKA,25,5.85,7.05,541,5.5,1.78,1650245,12001200
3667,SATHENAHALLIDODDAKERE TANK,TANK,KARNATAKA,25,5.35,7.85,1030,3.5,1,415,2800
3674,SATHYAMANGALA KERE,TANK,KARNATAKA,25,5.95,7.7,420,2.1,0.3,240,1750
3677,SHARANABASAVESHWARA KERE,TANK,KARNATAKA,28,7.1,7.95,1352.5,4.5,1.05,1015,3800
3600,SHIVAPURA TANK,TANK,KARNATAKA,25,3.05,7.05,2436,44,5.595,4702000,27017500
3689,SOMESHWARAKERE TANK,TANK,KARNATAKA,24,6.3,7.5,1036,3.9,1.17,35.5,133
3668,SOUDRALLI KERE,TANK,KARNATAKA,24,5.1,7.55,920,3.35,0.6,415,2850
3633,SUBRAMANYAPURA TANK,TANK,KARNATAKA,25,2.55,7.05,1487,27.5,6.15,472300,2717500
3688,SUDANAKERE TANK,TANK,KARNATAKA,24.5,7.1,7.95,685.5,3.65,0.655,88.5,307.5
3690,UNAKALKERE TANK,TANK,KARNATAKA,25.5,7.1,8,942,3.6,1.07,42,152.5
3640,UTTARAHALLI DORAIKERE,TANK,KARNATAKA,25,3.7,8,321,26,1.3,48350,282000
3632,VEERAPURA TANK,TANK,KARNATAKA,25,3.4,7.3,3084.5,63.5,4.9,49300,282000
3603,VENGAIHNAKERE,TANK,KARNATAKA,24.5,4.05,6.85,998.5,41.5,6.4,56150,472000
3630,YELAHANKA TANK,TANK,KARNATAKA,25,5.45,7.5,816,9,2.45,47070,812000
3605,YELLAMALLAPPA TANK,TANK,KARNATAKA,25,4.35,7.1,1339,9.5,4.41,86650,472000
1579,"ALAPPUZHA, KERALA",LAKE,KERALA,29.5,6.6,7.2,658,2.5,0.55,701,1101
1441,"ASHTHAMUDI LAKE AT QUILON, KERALA",LAKE,KERALA,23,5.6,6.85,16705,2.25,1.5,125,480
1578,"KAYAMKULAM, KERALA",LAKE,KERALA,29.5,4.35,7.45,4468,3.65,0.3,950,1950
1577,"KODUNGALLOOR, KERALA",LAKE,KERALA,28.5,6.85,7.6,16810,1.7,1.35,1050,3465
2312,LAKE VEMBANAD AT PATHIRAMANAL (ALAPPUZHA),LAKE,KERALA,28.5,7,7,722.5,2.4,0.3,701,2051
1383,"ORUVATHILKOTTA LAKE, KERALA",LAKE,KERALA,26.5,2.4,7.1,206.5,4.1,0.3,1310,2600
1574,"PARAVUR, KERALA",LAKE,KERALA,21.5,6,6.9,14135,1.65,1.05,117,435
2318,PAZHASSI RESERVOIR (KANNUR),LAKE,KERALA,27,7.35,7.2,60,1.1,0.3,50,360
1576,"PERIYAR LAKE AT THEKKADY, KERALA",LAKE,KERALA,25,7.15,7.15,40,1,0.3,2,51
1580,"POOKOTE, KERALA",LAKE,KERALA,27,7.55,6.75,26.5,1.25,0.3,14.5,46.5
2329,RSVR AT BHOOTHATHANKETU,LAKE,KERALA,26.5,7.55,7.15,39.5,1.15,0.5,1773.5,2742
2330,RSVR AT EDAMALAYAR,LAKE,KERALA,27,7.55,7.05,34.5,1,0.3,61,206
2328,RSVR AT MALAMPUZHA,LAKE,KERALA,26.5,6.95,7.3,107.5,2.2,1.95,351,650
1385,"SASTHAMCOTTA LAKE, KERALA",LAKE,KERALA,23,7,7.1,173.5,1.5,0.5,90,325
3470,"VELLAYANI LAKE AT VANDITHADOM, THIRUVANANTHAPURAM",LAKE,KERALA,26.5,6.15,6.3,135,2.75,0.3,450,1200
1575,"VEMBANAD LAKE,KOCHI (OIL TANKER JETTY), KERALA",LAKE,KERALA,29,5.6,7.1,21290,2.3,1.5,16315,100750
3462,MANANCHIRA POND AT KOZHEKODE,POND,KERALA,27.5,7.35,7.35,116.5,1.55,0.51,415,670
2325,"POND AT (PADMANABHA) SREE
PADMANABHA SWAMY TEMPLE (TVPM)",POND,KERALA,26.5,4.6,7.45,265,5.75,0.3,1600,5050
1401,POND NEAR JUMA MASJID,POND,LAKSHADWEEP,29,9,8.3,600,1,0.32,5,1600
2132,BILAWALI TALAB AT INDORE,LAKE,"MADHYA
PRADESH",21.65,7.35,8.1,419,1.5,2.48,2,53
3296,CHORAL DAM NEAR INDORE,LAKE,"MADHYA
PRADESH",22,7.4,7.75,449,1.15,0.515,2,49
4615,GANGA SAGAR JABALPUR,LAKE,"MADHYA
PRADESH",22.6,6.55,7.65,522,4.35,0.535,56,481.5
2135,GOVINDGARH LAKE,LAKE,"MADHYA
PRADESH",26.05,7.3,7.55,246,1.3,0.765,2,40
2141,JANUNIA TALAB NEAR W/S,LAKE,"MADHYA
PRADESH",26,7.3,7.45,369.5,4.9,4.75,91,12024.5
2142,"KALISINDH RESERVOIR AT SARANGPUR,
RAJGARH",LAKE,"MADHYA
PRADESH",22,7.45,7.55,370,1.9,0.4,2,29
3845,"KANHARGAON STOP DAM WATER
SUPPLY INTAKE OF CHHINDWARA TOWN",LAKE,"MADHYA
PRADESH",23.5,7.5,8,612,1.4,2.6,3.5,28.5
2140,"KERWA DAM NEAR REST HOUSE, BPL",LAKE,"MADHYA
PRADESH",24.5,7.8,7.7,302.5,1.2,4.27,91,17555
2128,"KHANDARI RESERVOIR WATER OFF TAKE
POINT",LAKE,"MADHYA
PRADESH",21.8,7.7,7.65,324.5,1.45,0.265,3,28
4622,"KOPTAL LAKE AT WATER SUPPLY INTAKE
POINT CHHATARPUR",LAKE,"MADHYA
PRADESH",26,5.7,7.85,472.5,1.95,0.26,2,21
1374,LOWER LAKE AT BHOPAL OUTLET M.P.,LAKE,MADHYA PRADESH,26,6.5,7.6,367.5,4.6,9.515,461,60075
2130,"MADHAV LAKE, SHIVPURI",LAKE,MADHYA PRADESH,23.5,6.5,7.85,539,2.45,0.79,5,71
1466,"MULTAI TANK LAKE AT VILLA. KHARI ON BETUL-AMRAVATI ROAD M.P(.TAPTI NEAR AMARAWATI, ROAD BRIDGE AT
VILLAGE KHEDA)",LAKE,MADHYA PRADESH,24.5,7.5,7.75,712,1.5,2.55,5,45
2134,NAGCHUN TALAB AT KHANDWA,LAKE,"MADHYA
PRADESH",21.4,6.95,7.3,315.5,1.4,2.35,2,49.5
2136,"SHAHPURA LAKE AT WEIR NEAR
AYUSHMAN HOSPITAL, BHOPAL",LAKE,"MADHYA
PRADESH",26.5,6.1,7.7,591.5,8.4,12.37,1057,110140
2133,SIRPUR TALAB AT INDORE,LAKE,"MADHYA
PRADESH",21.5,7.25,7.8,570,1.2,0.95,2,48.5
4614,SUPTAL JABALPUR,LAKE,"MADHYA
PRADESH",22.35,6.85,7.45,529,3.8,0.45,176,823
2139,UPPER LAKE AT BAIRAGARH CLUB,LAKE,MADHYA PRADESH,25.5,6.05,7.75,248,1.35,3.625,1751,46120
1373,"UPPER LAKE AT BHOPAL (INTAKE POINT), M.P.",LAKE,MADHYA PRADESH,25.5,6.55,7.45,256.5,2.65,3.165,2351,21575
2138,UPPER LAKE AT KARBALA CLUB,LAKE,MADHYA PRADESH,26,6.8,7.7,230.5,2.6,3.63,1301,46055
2137,UPPER LAKE AT YATCH CLUB,LAKE,MADHYA PRADESH,25.5,6.65,7.75,249,2.35,3.39,1751,27070
2131,YASHWANT SAGAR AT INDORE,LAKE,MADHYA PRADESH,22,7.25,8.05,618,1.6,0.885,2,55
3850,BAGDOON TALAB PITHAMPUR SANJAY JALASHAY PITHAMPUR,POND,MADHYA PRADESH,22,7.35,7.9,375.5,1.15,1.23,2,218
3831,"DAL SAGAR TALAB, DIST SEONI",POND,MADHYA PRADESH,23.15,6.8,7.6,416,3.1,1.3,61,808.5
3830,"GOKALPUR TALAB, DIST JABALPUR",POND,MADHYA PRADESH,22.45,6.65,8,425.5,5.2,0.515,76,807
3299,HANUMANTAL JABALPUR,POND,"MADHYA
PRADESH",22.45,6.45,7.55,448,3.15,0.515,36,820.5
3297,"MITHA TALAB, DEWAS",POND,MADHYA PRADESH,25.5,7.35,7.85,389.5,2.25,0.66,4,78.5
3301,MOTI TALAB AT BALAGHAT,POND,MADHYA PRADESH,23.6,7,7.55,474.5,3.15,0.255,56,468.5
3302,"PIPLIYA PALA TALAB, INDORE",POND,MADHYA PRADESH,21.5,7.05,8.05,530.5,1.7,1.95,2,101.5
3298,POND WATER AT LAKODA,POND,"MADHYA
PRADESH",18.2,7.15,7.55,401,1.9,0.815,3,48.5
3303,"RANI TALAB, REWA",POND,"MADHYA
PRADESH",24.5,6.65,8,351.5,1.45,0.69,2,40.5
3300,"RANITAL TALAB, JABALPUR",POND,"MADHYA
PRADESH",21.5,6.75,7.7,522.5,5.4,2.36,141,831.5
3849,SITAPAT TALAB DHAR,POND,"MADHYA
PRADESH",21.5,4.05,7.872,267,1.1,0.805,2,41
2129,"PERIAT TANK NEAR WSS INTAKE POINT
JABALPUR",TANK,"MADHYA
PRADESH",22,7.45,7.55,284,1.4,0.305,3,26.5
2849,CHANAM PUKHURI,POND,MANIPUR,23.5,6.35,7.3,270,3.6,0.3,45,125
3349,"TASEK LAKE AT SONGSAK (NAPHAK),",LAKE,MEGHALAYA,23.05,6.75,7.1,69.5,1.85,0.49,140,495
1459,"THADLASKEIN LAKE, JOWAI",LAKE,MEGHALAYA,16.5,7.2,7.1,53.5,1.65,0.42,13.5,150
1347,UMIAM LAKE AT BARAPANI,LAKE,MEGHALAYA,19.05,6.25,7.4,95.5,6.5,0.72,400,1400
3347,UMIAM LAKE AT MIDDLE POINT,LAKE,MEGHALAYA,19,6.15,7.45,89,6.15,0.685,360,1065
3346,"UMIAM LAKE AT OUTFALL OF UMIAM
INTO LAKE",LAKE,MEGHALAYA,18.55,5.2,7.55,163.5,7.5,0.77,435,1510
3348,"UMIAM LAKE ATNEAR UNITED
CHRISTIAN COLLEGE",LAKE,MEGHALAYA,19.1,6.1,7.3,99.5,6.15,0.49,400,1320
1348,WARD'S LAKE AT SHILLONG,LAKE,MEGHALAYA,20,6.9,7.4,127.5,2.85,0.555,95,420
3956,ANSHUPA AT BISHNUPUR,LAKE,ODISHA,27,6.35,7.3,147.5,1.9,0.47,2800,9700
3957,ANSHUPA AT SARANDAGARH,LAKE,ODISHA,26.5,5.85,7.35,159.5,1.65,0.735,1215,4995
3955,ANSHUPA AT SUBARANAPUR,LAKE,ODISHA,27,7,7.5,141.5,1.5,0.67,1815,8245
2438,ANSHUPA LAKE KADALIBARI,LAKE,ODISHA,26,6.8,7.65,188,1.7,0.77,960,3000
3953,CHILKA AT RAMBHA,LAKE,ODISHA,23,8.3,7.7,20313,2,0.99,1151,2451
2437,"CHILKA LAKE AT SATAPADA (RAMSAR
SITE)",LAKE,ODISHA,26,7.7,7.65,22855,1.55,0.97,851,1760
3954,TAMPADA LAKE AT CHHATRAPUR,LAKE,ODISHA,21.5,7.25,8.2,546,3.95,1.22,905,1980
2431,"BINDUSAGAR ( RELIGIOUS POND OF BHUBANESWAR CITY) (NORTH) (LINGRAJ
TEMPLE)",POND,ODISHA,27.5,6.6,7.25,328,1.95,0.92,12001,27085
2434,INDRADYUMNA TANK ( RILIGIOUS POND OF PURI CITY),POND,ODISHA,29.5,6.95,8.5,422,4.75,1.02,17510,27022.5
3962,JAGANNATH SAGAR POND OF JEYPORE,POND,ODISHA,20.5,6.05,7.35,309,2.05,1.08,80070,80245
2433,"MARKANDA POKHARI ( RILIGIOUS POND
OF PURI CITY)",POND,ODISHA,29.5,7.85,8.4,534,5.85,4.485,6522.5,12022.5
2432,"NARENDRA POKHARI ( RILIGIOUS POND
OF PURI CITY)",POND,ODISHA,29.5,9.95,8.6,658.5,5.9,1.62,715,4845
2436,"PARVATI SAGAR ( RILIGIOUS POND OF
PURI CITY)",POND,ODISHA,30,6.6,8.1,465.5,7.65,1.89,1222.5,2765
3963,RANIGUDA POND,POND,ODISHA,24,7.7,7.85,863,6.45,5.92,715,1645
2435,SWETAGANGA ( RILIGIOUS POND OF PURI CITY),POND,ODISHA,29,9.45,8.4,521.5,5.8,6.83,1222.5,2235
1686,BAHOUR LAKE,LAKE,PUDUCHERRY,30.5,5.4,7.3,286.5,1.75,0.77,12.5,975
4634,KANAGAN LAKE,LAKE,PUDUCHERRY,31,10.4,8.35,1126,16.4,2.31,305,1250
1396,OUSTERI LAKE,LAKE,PUDUCHERRY,30,7.2,7.15,240,1.65,0.57,56,801
1297,"HARIKE LAKE AT HARIKE VILLAGE,
PUNJAB",LAKE,PUNJAB,22,7.85,7.85,251,1.85,1.75,810,2105
1382,"HARIKE LAKE D/S FROM CANAL, PUNJAB",LAKE,PUNJAB,22,7.65,7.8,264,2.4,3.1,905,2295
2912,"RANJIT SAGAR RESERVOIR, PUNJAB",LAKE,PUNJAB,22,7.6,7.9,184.5,1,0.5,30,109.5
1481,"FATEH SAGAR LAKE AT UDAIPUR INTAKE POINT OF PHED, RAJASTHAN",LAKE,RAJASTHAN,25.5,6.6,8.25,728.5,2.35,4.13,66,142.5
2940,"GAPE- SAGAR LAKE, DUNGARPUR, RAJASTHAN",LAKE,RAJASTHAN,26.5,4.8,8.4,5921.5,2.95,5.655,305,780
4178,"GOVERDHAN SAGAR, UDAIPUR",LAKE,RAJASTHAN,24,5.35,8.05,881.5,2.2,4.03,350,780
2936,"JAISAMAND LAKE, ALWAR, RAJASTHAN",LAKE,RAJASTHAN,29,4.2,7.2,194.5,1.2,1,58,107
2941,"JAISAMAND LAKE, SALUMBER, UDAIPUR, POINT NO. 1, RAJASTHAN",LAKE,RAJASTHAN,25.5,7.45,8.65,653.5,1.65,2.6,49,112.5
2942,"JAISAMAND LAKE, SALUMBER, UDAIPUR, POINT NO. 2, RAJASTHAN",LAKE,RAJASTHAN,26,7.5,8.65,592.5,1.85,2.395,57,107
2944,"JALMAHAL, JAIPUR, RAJASTHAN",LAKE,RAJASTHAN,24,2.45,8.85,1940,4.55,6.41,276.5,655
2935,"JET SAGAR LAKE, BUNDI, RAJASTHAN",LAKE,RAJASTHAN,26,4.05,8,352.5,2.75,2.82,195,460
1714,"KAYALANA JHEEL JODHPUR, RAJASTHAN",LAKE,RAJASTHAN,23.5,7.95,7.9,339,1.55,1.625,58,107
